LEAID,STNAME,FIPST,LEANM,PCTPROF_MTH_clean,PCTPROF_RLA_clean,NUMVALID_MTH_clean,NUMVALID_RLA_clean,SCHLEV,MEMBERSCH,TOTALEXP,TOTALREV,TFEDREV,TSTREV,TLOCREV,TCURINST,TCURSSVC,TCAPOUT,per_pupil_exp,poverty_rate,Estimated Population 5-17,cluster,log_enrollment,silhouette
3416110,NEW JERSEY,34,Tenafly Public School District,79.0,84.0,2306,2323,03,3683,83218000,85504000,1035000,14702000,69767000,45371000,26837000,2577000,22595.16698343741,4.885371179039302,3664,0,8.211754397375197,0.4794634987528281
3416170,NEW JERSEY,34,Tewksbury Township School District,69.0,86.0,377,378,01,535,15932000,16842000,217000,3014000,13611000,8419000,5777000,606000,29779.439252336448,2.1246458923512748,706,0,6.284134161070802,0.43464977147933814
3416200,NEW JERSEY,34,Tinton Falls School District,57.0,68.0,928,929,01,1444,49542000,34440000,810000,8369000,25261000,17777000,12812000,16881000,34308.86426592798,6.553245116572148,1587,0,7.275864600546533,0.36557072412546027
3416230,NEW JERSEY,34,Toms River Regional School District,37.0,54.0,9395,9426,03,15374,280886000,282958000,10566000,102868000,169524000,157219000,95807000,7237000,18270.19643554052,9.639371640311047,19161,0,9.640498092674719,0.0638162308677522
3416260,NEW JERSEY,34,Totowa Public School District,42.0,53.0,621,620,01,978,18636000,20934000,670000,3298000,16966000,9618000,7058000,295000,19055.21472392638,10.440613026819925,1044,0,6.88653164253051,0.13951796354306523
3416290,NEW JERSEY,34,TRENTON PUBLIC SCHOOL DISTRICT,10.0,20.0,6905,6458,03,11937,340789000,352097000,21657000,305532000,24908000,133035000,102917000,2622000,28548.965401692218,32.33143191458242,13674,1,9.387481868728596,0.3806412320703474
3416320,NEW JERSEY,34,Tuckerton Borough School District,47.0,42.0,151,151,01,292,6182000,6658000,164000,3153000,3341000,3576000,2204000,99000,21171.23287671233,14.855072463768115,276,1,5.680172609017068,0.10656128380351862
3416350,NEW JERSEY,34,Union Beach Public School District,44.0,59.0,392,390,01,645,17316000,18035000,835000,10193000,7007000,7358000,4254000,339000,26846.511627906977,13.272543059777105,987,0,6.470799503782602,0.2150663979931334
3416380,NEW JERSEY,34,Union City School District,34.0,55.0,7117,6914,03,12231,310900000,294551000,24928000,251989000,17634000,128382000,121756000,11661000,25419.01725124683,27.608888888888888,11250,1,9.411810747608898,0.20971107833772937
3416440,NEW JERSEY,34,Union Township School District,57.0,75.0,299,298,01,432,11568000,11922000,255000,2118000,9549000,5846000,3971000,372000,26777.777777777777,1.7738359201773837,451,0,6.07073772800249,0.44680147982504986
3416470,NEW JERSEY,34,Barnegat Township School District,37.0,51.0,1912,1932,03,3130,65686000,69199000,2430000,32771000,33998000,35611000,21971000,831000,20985.94249201278,11.848476217601824,3511,1,8.049107721326406,0.023540107684317736
3416500,NEW JERSEY,34,Township of Union School District,41.0,57.0,4267,4235,03,7077,155235000,157455000,5090000,57241000,95124000,80369000,51848000,1958000,21935.142009325984,6.221821460775474,8872,0,8.864746660905409,0.25371398041428694
3416530,NEW JERSEY,34,Upper Deerfield Township School District,25.0,43.0,536,534,01,858,18445000,19070000,1593000,9614000,7863000,10319000,6195000,195000,21497.668997669,16.143497757847534,892,1,6.755768921984255,0.3634144246773418
3416560,NEW JERSEY,34,Upper Freehold Regional School District,57.0,65.0,1286,1304,03,2233,46970000,48986000,556000,11864000,36566000,24542000,17163000,1130000,21034.48275862069,3.450400492914356,1623,0,7.711548979629146,0.4768062283836696
