LEAID,LEANM,STNAME,per_pupil_exp,poverty_rate,PCTPROF_RLA_clean,predicted_reading,residual_reading,PCTPROF_MTH_clean,predicted_math,residual_math
3303850,Hollis/Brookline Coop School District,NEW HAMPSHIRE,17654.12329863891,1.9867549668874172,79.0,64.26291994046605,14.737080059533952,64.0,58.44578200592681,5.554217994073191
3303870,Hooksett School District,NEW HAMPSHIRE,24537.17754172989,5.723905723905724,57.0,60.99656440923526,-3.996564409235262,55.0,54.74305095651351,0.25694904348649317
3303900,Hopkinton School District,NEW HAMPSHIRE,20099.8003992016,5.793991416309012,72.0,60.64563551852217,11.35436448147783,61.0,54.789561901404646,6.210438098595354
3303930,Hudson School District,NEW HAMPSHIRE,15931.51096425353,5.596747189667544,53.0,60.576661762964676,-7.576661762964676,45.0,55.08160585334186,-10.081605853341863
3303960,Inter-lakes School District,NEW HAMPSHIRE,25627.68031189084,10.151380231522706,58.0,56.67874782990448,1.3212521700955193,54.0,50.535722169475086,3.464277830524914
3304030,Jaffrey-Rindge Coop School District,NEW HAMPSHIRE,17184.229390681005,10.21854695806261,58.0,56.07658682831013,1.923413171689873,41.0,50.68671053861263,-9.68671053861263
3304040,Kearsarge Regional School District,NEW HAMPSHIRE,23311.484918793503,5.974534769833497,63.0,60.670475427320426,2.329524572679574,59.0,54.537573984864615,4.462426015135385
3304050,Keene School District,NEW HAMPSHIRE,18719.01323706378,11.68346397909668,52.0,54.722422783927236,-2.722422783927236,42.0,49.264823733341686,-7.264823733341686
3304080,Kensington School District,NEW HAMPSHIRE,24694.915254237287,3.8461538461538463,74.5,62.867153323530744,11.632846676469256,74.5,56.511687112035375,17.988312887964625
3304140,Laconia School District,NEW HAMPSHIRE,18732.789393166757,14.773776546629731,38.0,51.66124004001522,-13.661240040015223,32.0,46.347147039148005,-14.347147039148005
3304150,Lafayette Regional School District,NEW HAMPSHIRE,23631.57894736842,11.214953271028037,77.0,55.49827721431147,21.50172278568853,72.0,49.582369319861186,22.417630680138814
3304230,Lebanon School District,NEW HAMPSHIRE,25067.77572396796,9.696969696969695,66.0,57.093486089867504,8.906513910132496,60.0,50.97891332107177,9.021086678928228
3304260,Lincoln-Woodstock School District,NEW HAMPSHIRE,27815.972222222223,4.0201005025125625,42.0,62.89278067499704,-20.89278067499704,42.0,56.268227837303236,-14.268227837303236
3304290,Lisbon Regional School District,NEW HAMPSHIRE,18698.005698005694,17.333333333333336,52.0,49.122879786054646,2.8771202139453536,47.0,43.93174916554149,3.06825083445851
3304350,Litchfield School District,NEW HAMPSHIRE,17567.9012345679,6.706586826347305,63.0,59.58077387216702,3.419226127832978,54.0,53.992340371037876,0.007659628962123577
3304380,Littleton School District,NEW HAMPSHIRE,22853.157121879587,26.39225181598063,55.0,40.410371631888694,14.589628368111306,42.0,35.27441234481904,6.725587655180959
3304410,Londonderry School District,NEW HAMPSHIRE,17862.426383981154,4.150453955901426,63.0,62.132218156700425,0.867781843299575,50.0,56.397910657278,-6.397910657277997
3304500,Lyme School District,NEW HAMPSHIRE,38548.91304347826,2.857142857142857,77.0,64.7259466264839,12.274053373516097,67.0,57.0935570503017,9.906442949698302
3304560,Madison School District,NEW HAMPSHIRE,60611.94029850746,14.9390243902439,52.0,52.937747381747855,-0.9377473817478545,22.0,45.6146429183914,-23.614642918391397
3304590,Manchester School District,NEW HAMPSHIRE,13815.56645851918,17.377384196185286,33.0,48.76951526442672,-15.769515264426722,24.0,44.014138570005166,-20.014138570005166
3304620,Marlborough School District,NEW HAMPSHIRE,32291.666666666668,17.153284671532848,32.0,50.1635930131432,-18.1635930131432,32.0,43.75655031268205,-11.756550312682052
3304670,Mascenic Regional School District,NEW HAMPSHIRE,15580.487804878048,8.857808857808857,58.0,57.32315018186174,0.6768498181382583,50.0,52.01200098975828,-2.0120009897582776
3304680,Mascoma Valley Reg School District,NEW HAMPSHIRE,23229.422066549912,7.38255033557047,50.0,59.27012825995978,-9.270128259959783,41.0,53.21045829686948,-12.210458296869483
3304740,Merrimack School District,NEW HAMPSHIRE,19396.5747926144,3.547873550147828,57.0,62.82660729279279,-5.8266072927927866,54.0,56.927805612334566,-2.9278056123345664
3304760,Merrimack Valley School District,NEW HAMPSHIRE,17360.134003350086,8.08349146110057,51.0,58.20327914742586,-7.20327914742586,42.0,52.697785998891256,-10.697785998891256
3304800,Milan School District,NEW HAMPSHIRE,32589.147286821702,11.688311688311687,42.0,55.597468227427896,-13.597468227427896,57.0,48.90805822998154,8.091941770018458
3304830,Milford School District,NEW HAMPSHIRE,18306.09597924773,5.25908739365816,56.0,61.061865468800676,-5.061865468800676,53.0,55.34006930719194,-2.340069307191939
3304890,Monadnock Regional School District,NEW HAMPSHIRE,20270.011947431303,10.20822752666328,42.0,56.28255782630878,-14.282557826308782,41.0,50.6180984181548,-9.618098418154801
3304950,Mont Vernon School District,NEW HAMPSHIRE,24322.751322751323,6.402439024390244,72.0,60.31063312516935,11.689366874830647,52.0,54.107944440431105,-2.1079444404311047
3304960,Moultonborough School District,NEW HAMPSHIRE,27687.37060041408,11.40684410646388,65.0,55.56541914147849,9.434580858521507,42.0,49.29823562686021,-7.298235626860212
3304980,Nashua School District,NEW HAMPSHIRE,14998.475883091269,11.020607640303004,46.0,55.14320691927305,-9.143206919273048,39.0,49.98504706211041,-10.98504706211041
3305040,New Boston School District,NEW HAMPSHIRE,27219.424460431652,2.82258064516129,63.0,64.04150926715143,-1.0415092671514259,64.0,57.41386190163649,6.586138098363513
3305190,Newfields School District,NEW HAMPSHIRE,24173.07692307692,3.355704697986577,64.5,63.32001540639156,1.179984593608438,44.5,56.987932977673125,-12.487932977673125
3305220,Newfound Area School District,NEW HAMPSHIRE,19780.033840947548,10.576221735959152,55.0,55.88684668118911,-0.8868466811891125,44.0,50.28314480984531,-6.283144809845311
3305280,Newmarket School District,NEW HAMPSHIRE,39917.84702549575,8.0078125,63.0,59.709209589025555,3.290790410974445,48.0,52.19644534708094,-4.196445347080939
3305310,Newport School District,NEW HAMPSHIRE,18377.33887733888,16.207951070336392,34.0,50.217630811427505,-16.217630811427505,21.0,45.00227852093686,-24.002278520936862
3305370,North Hampton School District,NEW HAMPSHIRE,26595.307917888564,6.263982102908278,82.0,60.59198319643296,21.408016803567037,66.0,54.18094644683475,11.819053553165247
3305400,Northumberland School District,NEW HAMPSHIRE,17827.16049382716,16.666666666666664,42.0,49.72820898938252,-7.728208989382523,27.0,44.58321041447903,-17.583210414479034
3305430,Northwood School District,NEW HAMPSHIRE,30605.405405405407,6.4179104477611935,60.0,60.693841909191924,-0.6938419091919243,51.0,53.93381048929857,-2.9338104892985726
3305460,Nottingham School District,NEW HAMPSHIRE,24339.96023856859,4.563758389261745,69.0,62.13359362793751,6.866406372062492,70.0,55.84326472892024,14.15673527107976
3305520,Oyster River Coop School District,NEW HAMPSHIRE,20315.981735159818,2.097902097902098,74.0,64.32164346128224,9.678356538717765,74.0,58.27326686914018,15.72673313085982
3305550,Pelham School District,NEW HAMPSHIRE,15946.219382321618,4.638297872340426,52.0,61.52728062857069,-9.527280628570693,45.0,55.986030811177486,-10.986030811177486
3305580,Pembroke School District,NEW HAMPSHIRE,17375.524475524475,7.1615720524017465,54.0,59.11774537759164,-5.117745377591639,43.0,53.5677085552694,-10.567708555269398
3305730,Pittsfield School District,NEW HAMPSHIRE,18935.42757417103,17.441860465116278,42.0,49.03040576349523,-7.0304057634952315,35.0,43.82326843647449,-8.823268436474493
3305760,Plainfield School District,NEW HAMPSHIRE,31942.30769230769,3.4574468085106385,67.0,63.71204296704567,3.2879570329543313,62.0,56.694610475793475,5.305389524206525
3305790,Plymouth School District,NEW HAMPSHIRE,19172.24880382775,14.666666666666666,56.0,51.795247581156644,4.204752418843356,49.0,46.437102542904285,2.5628974570957155
3305820,Portsmouth School District,NEW HAMPSHIRE,19694.122051666043,6.839186691312385,75.0,59.584262758070636,15.415737241929364,69.0,53.813174215371845,15.186825784628155
3305830,Profile School District,NEW HAMPSHIRE,24982.300884955752,12.411347517730496,77.0,54.39850480981801,22.601495190181993,67.0,48.41864793764624,18.58135206235376
3305880,Raymond School District,NEW HAMPSHIRE,19379.5326349718,8.861671469740633,50.0,57.56031444009394,-7.56031444009394,41.0,51.911889601488994,-10.911889601488994
3305940,Rochester School District,NEW HAMPSHIRE,19538.29736779701,13.42208642514186,49.0,53.05166834702069,-4.051668347020687,42.0,47.602720547378354,-5.602720547378354
3305970,Rollinsford School District,NEW HAMPSHIRE,35506.41025641026,4.523809523809524,42.0,62.88151846613768,-20.881518466137678,52.0,55.59743992660734,-3.5974399266073434
3306000,Rumney School District,NEW HAMPSHIRE,27763.157894736843,11.363636363636363,62.0,55.61303936895598,6.386960631044019,52.0,49.33710035643354,2.662899643566462
3306030,Rye School District,NEW HAMPSHIRE,34020.05012531328,4.623513870541611,83.0,62.688438835228794,20.311561164771206,82.0,55.541058224026614,26.458941775973386
3306060,Salem School District,NEW HAMPSHIRE,20833.427922814983,5.039664022398506,58.0,61.43960329875138,-3.439603298751379,51.0,55.48303629213337,-4.48303629213337
3306080,Sanborn Regional School District,NEW HAMPSHIRE,21009.40438871473,5.188387893761581,62.0,61.30340229536539,0.6965977046346126,54.0,55.33816912275729,-1.338169122757293
3306150,Seabrook School District,NEW HAMPSHIRE,20616.24649859944,15.038759689922482,41.0,51.51815641832326,-10.518156418323258,29.0,46.04917222535803,-17.049172225358028
3306180,Shaker Regional School District,NEW HAMPSHIRE,17534.883720930233,8.153310104529616,55.0,58.14518409211599,-3.14518409211599,41.0,52.627438348143826,-11.627438348143826
3306240,Somersworth School District,NEW HAMPSHIRE,18388.59060402685,11.646803900325027,42.0,54.73778737998732,-12.737787379987317,37.0,49.30782176053814,-12.30782176053814
3306260,Souhegan Cooperative School District,NEW HAMPSHIRE,23110.81081081081,2.481121898597627,77.0,64.11921694176183,12.880783058238165,57.0,57.84053243034366,-0.8405324303436572
3306420,Strafford School District,NEW HAMPSHIRE,25177.615571776158,5.080213903743315,57.0,61.67499674550399,-4.674996745503989,55.0,55.33444905309112,-0.33444905309112016
3306480,Stratham School District,NEW HAMPSHIRE,19788.908765652952,2.112676056338028,77.0,64.27356983186552,12.726430168134485,69.0,58.27270329678626,10.727296703213739
